"COMMON_NAME","SCIENTIFIC_NAME","SITECLCD","site","SPCD","BA_GROW","BA_GROW_AC","BA_GROW_VAR","BA_GROW_AC_VAR","nPlots_TREE","N"
"giant chinkapin, golden chinkapin","Chrysolepis chrysophylla",2,"165-224 cubic feet/acre/year",431,10.0982957473093,1.56515593767884,3.06732152715967,0.378570125653038,19,12761
"giant chinkapin, golden chinkapin","Chrysolepis chrysophylla",3,"120-164 cubic feet/acre/year",431,5.82825055110729,4.90462165408949,0.510393376208935,1.06450869896843,113,13050
"giant chinkapin, golden chinkapin","Chrysolepis chrysophylla",4,"85-119 cubic feet/acre/year",431,6.93486525440827,3.86186334482964,0.398012893192703,0.594050479224287,88,17615
"giant chinkapin, golden chinkapin","Chrysolepis chrysophylla",5,"50-84 cubic feet/acre/year",431,6.02387553859288,3.5447472301361,0.355325136867187,0.915374387821741,68,13050
"giant chinkapin, golden chinkapin","Chrysolepis chrysophylla",6,"20-49 cubic feet/acre/year",431,3.58470015518039,0.456976232551273,0.150429519297368,0.0440375186983988,19,13050
"giant chinkapin, golden chinkapin","Chrysolepis chrysophylla",7,"0-19 cubic feet/acre/year",431,6.09234908049615,1.79795966419261,1.90671538585424,1.39237393706157,6,12761
"giant sequoia","Sequoiadendron giganteum",2,"165-224 cubic feet/acre/year",212,33.103940184,0.285222759476765,-2.22271088575481e-13,0.0618008672558734,1,6606
"grand fir","Abies grandis",1,"225+ cubic feet/acre/year",17,27.3253673227211,5.58596797246761,46.3599028086921,14.5742612583742,3,13792
"grand fir","Abies grandis",2,"165-224 cubic feet/acre/year",17,34.5541154687077,20.1760131886143,13.522742943292,30.9787638784209,48,19947
"grand fir","Abies grandis",3,"120-164 cubic feet/acre/year",17,23.4939914946738,72.379017968859,0.952576149610436,53.3316207240249,297,20477
"grand fir","Abies grandis",4,"85-119 cubic feet/acre/year",17,19.594906090173,159.419612352301,0.421618701711182,117.601903715547,547,20477
"grand fir","Abies grandis",5,"50-84 cubic feet/acre/year",17,15.2904644200092,110.733000346873,0.280190292191865,41.5345058828107,663,20477
"grand fir","Abies grandis",6,"20-49 cubic feet/acre/year",17,14.2532297441304,51.2767800242712,0.365528888288486,16.2117927818616,319,20477
"grand fir","Abies grandis",7,"0-19 cubic feet/acre/year",17,11.54015852959,2.47217945716214,3.04589931934641,1.07546665122945,14,20477
"incense-cedar","Calocedrus decurrens",2,"165-224 cubic feet/acre/year",81,14.7051736854878,2.09086899950405,17.1888980765836,1.10121958677688,15,12761
"incense-cedar","Calocedrus decurrens",3,"120-164 cubic feet/acre/year",81,18.8643436381572,16.9361240327941,2.48409496376599,13.7459988885143,143,13050
"incense-cedar","Calocedrus decurrens",4,"85-119 cubic feet/acre/year",81,17.6380102698951,22.2842928947441,1.99977017511381,10.1494994945156,166,13050
"incense-cedar","Calocedrus decurrens",5,"50-84 cubic feet/acre/year",81,16.2433075386317,15.0794547232995,3.7954457637149,5.11796116837506,150,13050
"incense-cedar","Calocedrus decurrens",6,"20-49 cubic feet/acre/year",81,11.7101404759698,7.07075738766736,1.5715279297903,2.35482013741585,74,13050
"incense-cedar","Calocedrus decurrens",7,"0-19 cubic feet/acre/year",81,19.2688573229974,4.68541948554499,23.5707118831118,4.7604224378478,13,12761
"Jeffrey pine","Pinus jeffreyi",4,"85-119 cubic feet/acre/year",116,16.3525973922217,0.738377669488419,7.04800886759099,0.198716748271849,3,12761
"Jeffrey pine","Pinus jeffreyi",5,"50-84 cubic feet/acre/year",116,12.4919278811216,1.95354393461401,16.5004016671599,0.597371824585866,12,12761
