"COMMON_NAME","SCIENTIFIC_NAME","SITECLCD","site","SPCD","BA_GROW","BA_GROW_AC","BA_GROW_VAR","BA_GROW_AC_VAR","nPlots_TREE","N"
"Jeffrey pine","Pinus jeffreyi",4,"85-119 cubic feet/acre/year",116,16.7767215682475,1.30514271107744,2.24764009093825,0.74507097007381,5,12761
"Jeffrey pine","Pinus jeffreyi",5,"50-84 cubic feet/acre/year",116,7.48082117965949,1.49581599714008,17.9229385549483,0.497865349679739,14,12761
"Jeffrey pine","Pinus jeffreyi",6,"20-49 cubic feet/acre/year",116,5.50322338120514,0.69054990116225,9.50749694245288,0.17263393118822,21,12761
"Jeffrey pine","Pinus jeffreyi",7,"0-19 cubic feet/acre/year",116,-8.52988947137993,-0.733355547367364,68.7419312231765,1.13256398139713,16,6155
"knobcone pine","Pinus attenuata",3,"120-164 cubic feet/acre/year",103,0.519234867000017,0.00135750292109626,7.00235230241909e-17,1.90302998259228e-06,6,6155
"knobcone pine","Pinus attenuata",4,"85-119 cubic feet/acre/year",103,1.03945765290919,0.0755247991392294,105.728158603574,0.577628501788166,10,12761
"knobcone pine","Pinus attenuata",5,"50-84 cubic feet/acre/year",103,-17.6957671751272,-0.859447918849967,58.8533285062636,0.30495160066659,14,12761
"knobcone pine","Pinus attenuata",6,"20-49 cubic feet/acre/year",103,-5.60506319173817,-0.330011864289684,8.65854619768263,0.025896383776979,11,6444
"knobcone pine","Pinus attenuata",7,"0-19 cubic feet/acre/year",103,0.627532772598543,0.0231886004928461,13.3668973027633,0.0161022591145753,10,6155
"lodgepole pine","Pinus contorta",1,"225+ cubic feet/acre/year",108,12.2256902919496,3.66468275789064,7.13288609601476,5.25048162210209,6,9227
"lodgepole pine","Pinus contorta",2,"165-224 cubic feet/acre/year",108,-1.08525218288312,-0.298338428186512,41.0109745877821,3.22373388611665,23,19947
"lodgepole pine","Pinus contorta",3,"120-164 cubic feet/acre/year",108,-2.93921692789582,-4.35621101314717,5.90230647089361,14.7009325170306,123,20236
"lodgepole pine","Pinus contorta",4,"85-119 cubic feet/acre/year",108,-2.46159182708424,-23.5889925956476,2.35799222470185,206.662586811965,428,20477
"lodgepole pine","Pinus contorta",5,"50-84 cubic feet/acre/year",108,-1.96367200037655,-36.130444240382,1.36788092844227,470.033969054097,970,20477
"lodgepole pine","Pinus contorta",6,"20-49 cubic feet/acre/year",108,-1.79649942129228,-61.1156934707207,1.04929295629878,1281.78955438988,930,20477
"lodgepole pine","Pinus contorta",7,"0-19 cubic feet/acre/year",108,-2.14198157316909,-14.3989723525336,3.19962922200371,148.309976984138,94,20477
"mountain hemlock","Tsuga mertensiana",1,"225+ cubic feet/acre/year",264,12.920670531,0.156566274239677,-1.1643074698446e-13,0.0260089268846963,1,2621
"mountain hemlock","Tsuga mertensiana",2,"165-224 cubic feet/acre/year",264,8.12368434784562,1.91299269811173,4.12266913621209,1.42262109514538,24,20188
"mountain hemlock","Tsuga mertensiana",3,"120-164 cubic feet/acre/year",264,9.39745066122062,6.92074447227554,1.35531273090951,2.65233146656525,93,20477
"mountain hemlock","Tsuga mertensiana",4,"85-119 cubic feet/acre/year",264,2.51314514238986,7.40039029456405,1.36682833903279,13.668076381817,148,20477
"mountain hemlock","Tsuga mertensiana",5,"50-84 cubic feet/acre/year",264,-0.982189507793047,-6.08596155016354,5.63800081418313,216.142293717456,236,20477
"mountain hemlock","Tsuga mertensiana",6,"20-49 cubic feet/acre/year",264,0.0511024222979855,0.596937959071835,2.76761918630644,377.823571262252,252,20477
"mountain hemlock","Tsuga mertensiana",7,"0-19 cubic feet/acre/year",264,-1.18528314039222,-12.791677298336,11.4617554053111,1343.73634751636,97,20477
"noble fir","Abies procera",1,"225+ cubic feet/acre/year",22,21.6916822604808,51.4935981677028,47.0493952765192,1652.40818133232,9,19947
"noble fir","Abies procera",2,"165-224 cubic feet/acre/year",22,24.4675822961884,76.4818363639412,5.00127815213482,193.570126067817,102,20477
"noble fir","Abies procera",3,"120-164 cubic feet/acre/year",22,18.0002226915522,31.8094819513565,4.55887487167821,34.2390203405319,168,20477
"noble fir","Abies procera",4,"85-119 cubic feet/acre/year",22,11.6285345866015,18.7271717019352,5.94760065981303,43.3051731737036,128,20477
"noble fir","Abies procera",5,"50-84 cubic feet/acre/year",22,12.7062222518148,9.77097212652332,8.27604811382035,13.7412232626039,90,20477
"noble fir","Abies procera",6,"20-49 cubic feet/acre/year",22,-21.4525348681419,-12.3565640895893,438.399394058258,254.188064739442,29,20236
